CUI,CUI_STR,LOINC_PART,LOINC_PART_NAME
C3261410,Functional status of transplant,LP134078-7,Functional status of transplant
C2736784,Saccharomyces cerevisiae basophil bound Ab,LP174303-0,Saccharomyces cerevisiae basophil bound Ab
C1719249,Adjusted for diabetes,LP36657-2,adjusted for diabetes
C3166835,Your child is not very good at remembering peoples date of birth,LP118477-1,Your child is not very good at remembering peoples date of birth
C3483374,Emotional well being - living with HIV,LP148812-3,Emotional well being - living with HIV
C0009393,Color,LP28806-5,Color
C1415533,HGD gene,LP208417-8,HGD gene
C1829521,1 hour post dose metoclopramide,LP61835-2,1H post dose metoclopramide
C3165911,PhenX domain - Oral health,LP111877-9,PhenX domain - Oral health
C0047572,3-methyladipic acid,LP61808-9,3-Methyladipate
C0446908,Mastoid process,LP199989-7,Mastoid
C0446908,Mastoid process,LP30458-1,Mastoid
C3176478,At what age was diabetes first treated,LP124898-0,At what age was diabetes first treated
C0040238,tin,LP16838-2,Tin
C0807367,Phencyclidine cutoff,LP229269-8,Phencyclidine cutoff
C0600433,Activated Protein C Resistance,LP18494-2,Activated protein C resistance
C0032704,Porphobilinogen,LP14481-3,Porphobilinogen
C0368910,cholesterol/triglyceride,LP307372-5,Cholesterol/Triglyceride
C2733800,Ophthalmic OCT panel,LP97036-5,Optical coherence tomography panel
C0184517,Activity alteration,LP74411-7,Activity alteration
C3177100,"If you were not born in USA, indicate as closely as possible the date you first arrived here",LP128547-9,"If you were not born in USA, indicate as closely as possible the date you first arrived here"
C0947557,Digestion-hydration:status,LP56804-5,Digestion-hydration.status
C3263189,"Current medical information - admission, home health",LP136106-4,"Current medical information - admission, home health"
C0805867,Delta aminolevulinate/Creatinine,LP285876-1,Delta aminolevulinate/Creatinine
C1440266,Cells.CD19+CD38+,LP29140-8,Cells.CD19+CD38+
C3258357,What language do you speak with most of your friends,LP128798-8,What language do you speak with most of your friends
C3262866,Airway status,LP135784-9,Airway status
C1446775,Quercus velutina antigen,LP17529-6,Quercus velutina
C0021036,Immunoglobulin kappa-Chains,LP15030-7,Immunoglobulin light chains.kappa
C0487719,Visual acuity log MAR.right,LP73690-7,Visual acuity log MAR.right
C3174712,How many W or Mo did that pregnancy last,LP116977-2,How many W or Mo did that pregnancy last
C2923572,Interferon.beta given,LP228719-3,Interferon.beta given
C0552470,Head circumference/Abdominal circumference,LP286141-9,Head circumference/Abdominal circumference
C2361339,Nursing Management Minimum Data Survey,LP69883-4,SURVEY.NMMDS
C2361339,Nursing Management Minimum Data Survey,LP174447-5,NMMDS
C1979524,1 minute post 2 mg/kg calcium and 0.5 ug/kg pentagastrin IV,LP65152-8,1M post 2 mg/kg calcium & 0.5 ug/kg pentagastrin IV
C1442037,Ultrasound.Teichholz,LP6738-1,US.Teichholz
C1829806,Legionella pneumophila 14 IgG,LP57445-6,Legionella pneumophila 14 Ab.IgG
C0808173,T' wave amplitude.lead V6,LP31252-7,T' wave amplitude.lead V6
C0882739,Burkholderia mallei Ab,LP37451-9,Burkholderia mallei Ab
C1718087,Multisection perfusion qualitative,LP36584-8,Multisection perfusion qualitative
C0023816,LIPOPROTEIN LIPASE,LP15707-0,Lipoprotein lipase
C0262499,Head circumference,LP72254-3,Circumference.occipital-frontal
C0262499,Head circumference,LP32062-9,Head circumference
C0262499,Head circumference,LP73807-7,Head circumference
C1632809,Derived SEER summary stage 1977 conversion method,LP72429-1,Derived SEER summary stage 1977 conversion method
C1830527,Unobserved surgical wound,LP75821-6,Unobserved surgical wound
C0443581,Dihydrothymine,LP199588-7,Dihydrothymine
C0429537,Distance visual acuity,LP73687-3,Visual acuity.far
C1446750,Poa annua antigen,LP17428-1,Poa annua
C2708124,Dialysis in last 14D - while a resident,LP90961-1,Dialysis in last 14D - while a resident
C0368576,2-oxoisocaproate,LP16012-4,2-Oxoisocaproate
C0487050,L little u NOS Ab,LP15202-2,L little u super little a super little b
C0487050,L little u NOS Ab,LP38774-3,L little u NOS Ab
C1115634,Lathyrus sativus Ab.IgE.RAST class,LP228847-2,Lathyrus sativus Ab.IgE.RAST class
C1440754,human histocompatibility complex derived antigens-DQ alpha,LP18328-2,HLA-DQ alpha
C0013089,doxorubicin,LP18382-9,DOXOrubicin
C1446569,Hemp fiber antigen,LP17454-7,Hemp fiber
C2598686,Yeast identified,LP71348-4,Yeast identified
C3260491,Anyone in your child's family that has a poorer vocabulary than other family members,LP130662-2,Anyone in your child's family that has a poorer vocabulary than other family members
C0017163,gastroenterology (field),LP29710-8,GI
C0017163,gastroenterology (field),LP190554-8,Gastroenterology
C0017163,gastroenterology (field),LP32892-9,Gastroenterology
C0244342,3-hydroxyisobutyryl-CoA hydrolase,LP201747-5,3-Hydroxyisobutyryl-CoA hydrolase
C3475990,I need help doing my usual activities in the past 7D,LP146113-8,I need help doing my usual activities in the past 7D
C0947188,Shoulder - bilateral,LP234818-5,Upper extremity.bilateral>Shoulder
C0947188,Shoulder - bilateral,LP30271-8,Shoulder.bilateral
C1549728,National Provider Identifier,LP75161-7,National provider ID
C2737225,Ustilago avenae Ab.IgG4,LP96121-6,Ustilago avenae Ab.IgG4
C3476436,Reason immunization not,LP150296-4,Reason immunization not
C0016957,GALACTOSYLCERAMIDASE,LP111252-5,Galactocerebrosidase
C0016957,GALACTOSYLCERAMIDASE,LP14027-4,Galactosylceramidase
C0060167,fenethylline,LP16144-5,Fenetylline
C1116357,Populus fremontii Ab.IgE,LP148366-0,Populus fremontii Ab.IgE
C1417668,NEFL gene,LP32709-5,NEFL gene
C1648355,Three hours after incubation,LP36174-8,3H post incubation
C0804942,Alpha hydroxybutyrate/Creatinine,LP284948-9,Alpha hydroxybutyrate/Creatinine
C0805005,Acceleration 2,LP31971-2,Acceleration 2
C0805005,Acceleration 2,LP72037-2,Acceleration 2
C0807058,Myelin basic protein Ab.IgM,LP39133-1,Myelin basic protein Ab.IgM
C1334505,MGMT gene,LP101266-7,MGMT gene
C3475765,I feel weak in the past 7D,LP149196-0,I feel weak in the past 7D
C0806354,Hereditary pancreatitis gene mutations tested for,LP228611-2,Hereditary pancreatitis gene mutations tested for
C0487492,Saltbush Ab.IgE,LP148535-0,Saltbush Ab.IgE
C2964404,PROMIS pediatric short form - fatigue - 10a - version 1.0,LP105021-2,PROMIS pediatric short form - fatigue 10a - version 1.0
C0025646,methionine,LP15730-2,Methionine
C0025646,methionine,LP32571-9,Methionine
C0025646,methionine,LP70164-6,Methionine
C0553054,Binocular distance,LP64592-6,Binocular distance
C3173628,Do you usually have a cough,LP115865-0,Do you usually have a cough
C0483208,Rickettsia spotted fever group IgM,LP39604-1,Rickettsia spotted fever group Ab.IgM
C1441973,Ultrasound+Estimated from HC Measured.Chitty 1997,LP32348-2,US+Estimated from HC measured.Chitty 1997
C3262193,I was able to put on my clothes by myself in the past 7D,LP134577-8,I was able to put on my clothes by myself in the past 7D
C0056061,codeine-6-glucuronide,LP266977-0,Codeine-6-glucuronide
C3165721,PhenX - hypomania - mania symptoms - adult protocol,LP112289-6,PhenX - hypomania - mania symptoms - adult protocol 120402
C0376260,17-hydroxypregnenolone,LP36720-8,17 alpha-Hydroxypregnanolone
C0376260,17-hydroxypregnenolone,LP17184-0,17-Hydroxypregnenolone
C1446841,Sericin antigen,LP14962-2,Sericin
C1714471,Pathology protocols - general,LP36751-3,PATH.PROTOCOLS.GENER
C1717839,Foot problems and care,LP74861-3,Foot problems and care
C0030796,Pelvimetry,LP200095-0,Pelvimetry
C3166266,Reference values source,LP116873-3,Reference values source
C1442031,US.measured.real time two dimension,LP6734-0,US.measured.real time two dimension
C3261579,I had to read something several times to understand it in the past 7D,LP134235-3,I had to read something several times to understand it in the past 7D
C3262857,Enterocyte Ab panel,LP135773-2,Enterocyte Ab panel
C3263660,Jumping - difficulty - score,LP140319-7,Jumping - difficulty - score
C1545647,Views 5 + oblique,LP35248-1,Views 5 + oblique
C3259979,"Have you ever seen or been present when another person was shot at, stabbed, struck, kicked, beaten, slapped around, or otherwise physically harmed",LP129593-2,"Have you ever seen or been present when another person was shot at, stabbed, struck, kicked, beaten, slapped around, or otherwise physically harmed"
C1953529,"Erythro-4,5-Dihydroxyhexanoate/Creatinine",LP285975-1,"Erythro-4,5-Dihydroxyhexanoate/Creatinine"
C2924024,Procedure estimated blood loss,LP100690-9,Procedure estimated blood loss
C3258181,"Sometimes when I feel bad, I keep doing something even though it is making me feel worse",LP128809-3,"Sometimes when I feel bad, I keep doing something even though it is making me feel worse"
C0487596,Squash summer Ab.IgE,LP148550-9,Squash summer Ab.IgE
C3175992,Do attempts to change your sleep or wake schedule tend to make your sleeping difficulties worse,LP120245-8,Do attempts to change your sleep or wake schedule tend to make your sleeping difficulties worse
C3262321,Date transplant,LP135386-3,Date transplant
C0054450,Calcineurin,LP95253-8,Protein phosphatase 3
C0522281,Cryptococcal antigen,LP37839-5,Cryptococcus sp Ag
C3475633,I am frustrated by being too tired to do the things I want to do in the past 7D,LP146926-3,I am frustrated by being too tired to do the things I want to do in the past 7D
C0005642,bismuth,LP16806-9,Bismuth
C0019053,Hemolysin,LP30938-2,Hemolysin
C0200574,Minor crossmatch,LP15227-9,Minor crossmatch
C0432633,Blood group antibody N,LP39143-0,N Ab
C0805253,Bean black Ab.IgE.RAST class,LP227751-7,Bean black Ab.IgE.RAST class
C0808132,Surgery.regional nodes examined at facility.YYY most definitive procedure,LP73454-8,Surgery.regional nodes examined at facility.YYY most definitive procedure
C1441718,Diluted RBC,LP6478-4,RBCs diluted
C2735973,Items from most recent prior OBRA or scheduled PPS assessment,LP98780-7,Items from most recent prior OBRA or scheduled PPS assessment
C2735973,Items from most recent prior OBRA or scheduled PPS assessment,LP263209-1,Items from the most recent prior OBRA or scheduled PPS Assessment
C2923403,Blood flow.reverse.max,LP99749-1,Blood flow.reverse.max
C3476556,"t(11;22)(p13;q12.2)(WT1,EWSR1)",LP19833-0,"t(11;22)(p13;q12.2)(WT1,EWSR1)"
C0040300,Body tissue,LP61649-7,Tissue
C0040300,Body tissue,LP234849-0,XXX>Tissue
C0040300,Body tissue,LP200029-9,Tissue
C0040300,Body tissue,LP189537-6,XXX.tissue
C0040300,Body tissue,LP7641-6,Tiss
C0040300,Body tissue,LP200064-6,Tissue
C1545299,"Follow-up (referred to) program, name",LP74058-6,"Follow-up (referred to) program, name"
C2963443,Diagnostic impression,LP111390-3,Diagnostic impression
C3263284,Coroner - medical examiner case number,LP136235-1,Coroner - medical examiner case number
C3484241,GBA gene.c.84insG,LP33323-4,GBA gene.c.84insG
C2963730,How often did you feel tired in past 7D,LP103043-8,How often did you feel tired in past 7D
C1979120,Blasts.CD126/100 blasts,LP285114-7,Blasts.CD126/100 blasts
C2924327,Electrocardiograms recorded,LP98879-7,Electrocardiograms recorded
C2963962,I felt tired in past 7D,LP103072-7,I felt tired in past 7D
C2963962,I felt tired in past 7D,LP111352-3,I felt tired in the past 7D
C0807263,Human papilloma virus 11 Ag,LP38573-9,Human papilloma virus 11 Ag
C1115818,Persea americana Ab.IgG,LP39342-8,Persea americana Ab.IgG
C0809817,Heart ventricle Left mid lateral,LP7325-6,Heart.ventricle.left.mid lateral
C1441756,Test strip manual,LP6550-0,Test strip manual
C3175796,Do you worry that you might be trapped without any way to escape,LP119539-7,Do you worry that you might be trapped without any way to escape
C3533164,Self-efficacy score,LP157095-3,Self-efficacy score
C1507337,Citharexylum caudatum antibody,LP14003-5,Citharexylum caudatum
C0001414,Adenine Phosphoribosyltransferase,LP95516-8,Adenine phosphoribosyltransferase
C0001414,Adenine Phosphoribosyltransferase,LP15322-8,Adenine phosphoribosyltransferase
C1115504,Fraxinus nigra Ab.IgE,LP147616-9,Fraxinus nigra Ab.IgE
C1829587,post 500 ug dexamethasone PO 2.5 day low dose q6h,LP61830-3,post 500 ug dexamethasone PO 2.5 day low dose q6h
C2361933,2.5 hours post dose fructose PO,LP66651-8,2.5H post dose fructose PO
C0285642,HLA-Bw65 antigen,LP16541-2,HLA-B65(14)
C0370153,Western equine encephalomyelitis virus antibody,LP40166-8,Western equine encephalitis virus Ab
C0804935,Alpha aminoadipate/Creatinine,LP284940-6,Alpha aminoadipate/Creatinine
C0014479,ephedrine,LP16128-8,ePHEDrine
C0334381,Non-infiltrating lobular carcinoma,LP247941-0,Lobular carcinoma in situ
C0807286,Para-aminosalicylate,LP18625-1,Para aminosalicylate
C1545843,VA C&P exam.residuals of amputations note,LP73640-2,VA C&P exam.residuals of amputations note
C2736720,Falls - addressed in care plan,LP98493-7,Falls - addressed in care plan
C3165940,PhenX measure - attention-deficit - hyperactivity disorder symptoms,LP112313-4,PhenX measure - attention-deficit - hyperactivity disorder symptoms
C0808000,Squash summer Ab.IgE.RAST class,LP229677-2,Squash summer Ab.IgE.RAST class
C1440333,CD54 cells,LP19079-0,Cells.CD54
C0808138,Swine epithelium Ab.IgE.RAST class,LP229713-5,Swine epithelium Ab.IgE.RAST class
C2926140,Carisoprodol/Creatinine,LP285220-2,Carisoprodol/Creatinine
C0805259,Bean kidney red Ab.IgG.RAST class,LP227755-8,Bean kidney red Ab.IgG.RAST class
C0945930,Cells.CD4+CD45RA+,LP21159-6,Cells.CD4+CD45RA+
C2598140,Largest Ulcer Measurements,LP75018-9,Largest pressure ulcer measurements
C2599570,at 1.5 liter per second on ventilator,LP71902-8,at 1.5 liter per second on ventilator
C0807720,Reference beat,LP7541-8,Reference beat
C0807720,Reference beat,LP31122-2,Reference beat
C1439781,5 minutes post XXX challenge,LP20557-2,5M post XXX challenge
C1830008,Residual physical functional capacity (RFC) assessment form,LP75576-6,Residual physical functional capacity (RFC) assessment form
C0021436,Infusion Pump,LP101913-4,Infusion pump
C0805021,Admitted at destination facility,LP73901-8,Admitted at destination facility
C1953618,Sunset yellow FCF leukotriene release,LP229710-1,Sunset yellow FCF leukotriene release
C0133860,"fatty acids, omega-6",LP33085-9,Fatty acids.omega 6
C1979660,Calcium crystals,LP32788-9,
C3173093,Has child attended day care outside the home,LP114826-3,Has child attended day care outside the home
C1439663,30 minutes post dose TRH IN,LP20871-7,30M post dose TRH IN
C2736583,When confused within the last 14D,LP98187-5,When confused within the last 14D
C3166584,What beverage does your child most often consume at meals,LP115217-4,What beverage does your child most often consume at meals
C1156245,Growth pattern,LP207891-5,Growth pattern
C1285592,Usual body weight,LP304480-9,Body weight^usual
C1446791,Rat epithelium antigen,LP17057-8,Rat epithelium
C3261210,Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH)/Octanoylcarnitine (C8),LP307460-8,Glutarylcarnitine (C5-DC)+3-Hydroxyhexanoylcarnitine (C6-OH)/Octanoylcarnitine (C8)
C0016855,furazolidone,LP140245-4,Furazolidone
C2600049,MEMS Cap,LP76088-1,MEMS Cap
C0014136,Endocrine system,LP7203-5,Endocrine system
C0014136,Endocrine system,LP190540-7,Endocrinology
C0014136,Endocrine system,LP31396-2,Endocrine
C2599471,Breath termination sensitivity setting,LP72198-2,Breath termination sensitivity setting
C3165642,PhenX - diabetic retinopathy protocol,LP112338-1,PhenX - diabetic retinopathy protocol 140701
C3176193,Are you currently pregnant,LP124916-0,Are you currently pregnant
C1546088,post concentration,LP35615-1,post concentration
C1443094,Ailanthus altissima antigen,LP17647-6,Ailanthus altissima
C1439925,pre XXX challenge,LP20498-9,pre XXX challenge
C0066342,methylcrotonoyl-CoA carboxylase,LP201748-3,3-Methylcrotonyl-CoA carboxylase
C0486537,Laboratory observation of character,LP17864-7,Character
C1115340,Cichorium endivia Ab.IgG.RAST class,LP228032-1,Cichorium endivia Ab.IgG.RAST class
C1954519,Orientia tsutsugamushi Gilliam IgG,LP63651-1,Orientia tsutsugamushi Gilliam Ab.IgG
C1989531,CD11c+CD19+ cells/100 cells,LP285291-3,Cells.CD11c+CD19+/100 cells
C2964194,Lymphocyte proliferation. 40 ug phytohemagglutinin stimulation,LP102480-3,Lymphocyte proliferation. 40 ug phytohemagglutinin stimulation
C3165841,PhenX - sexual history protocol,LP111975-1,PhenX - sexual history protocol 101401
C3476111,Michigan alcoholism screening test - geriatric version,LP156483-2,MAST-G
C3476111,Michigan alcoholism screening test - geriatric version,LP156121-8,Michigan alcoholism screening test - geriatric version
C1508703,Temporomandibular joint - bilateral,LP207358-5,Head>Temporomandibular joint.bilateral
C1508703,Temporomandibular joint - bilateral,LP33685-6,Temporomandibular joint.bilateral
C1829746,Francisella tularensis subtype,LP56733-6,Francisella tularensis subtype
C2964609,When I was in pain I screamed in past 7D,LP102933-1,When I was in pain I screamed in past 7D
C0057539,desmethylclomipramine,LP268989-3,Desmethylclomipramine
C0057539,desmethylclomipramine,LP16085-0,Norclomipramine
C0312715,HLA-Dw24 antigen,LP16600-6,HLA-Dw24
C0201682,Chemical procedure,LP7786-9,Chemistry - non-challenge
C1507175,Cells.CD4+CD28+/100 cells,LP285500-7,Cells.CD4+CD28+/100 cells
C0808341,Turkey meat Ab.IgE.RAST class,LP229872-9,Turkey meat Ab.IgE.RAST class
C1291200,2-Aminoadipate,LP15354-1,Alpha aminoadipate
C0806957,Microbial susceptibility tests,LP74160-0,Microbial susceptibility tests
C0882870,Cells.CD40/100 cells,LP285515-5,Cells.CD40/100 cells
C1439477,1 day post dose intradermal,LP20654-7,1D post dose ID
C2963817,Human papilloma virus 52,LP102531-3,Human papilloma virus 52
C0081942,"Antigens, CD58",LP20104-3,CD58
C1441785,US.2D+Measured by planimetry,LP32280-7,US.2D+Measured by planimetry
C0162832,APC gene,LP19474-3,APC gene
C0809800,Heart interventricular septum defect,LP30029-0,Heart.interventricular septum.defect
C0945938,Chemistry challenge studies,LP40271-6,"Chemistry, challenge"
C0945938,Chemistry challenge studies,LP73944-8,Chemistry challenge studies
C2924145,35th specimen,LP99566-9,35th specimen
C1507348,DMPK gene allele 2.CTG repeats,LP33344-0,DMPK gene allele 2.CTG repeats
C1976947,TCL-1A Ag,LP64921-7,TCL-1A Ag
C3539550,PROMIS-29 Pain interference score,LP156150-7,PROMIS-29 Pain interference score
C0010640,Cystathionine,LP15519-9,Cystathionine
C0234378,Static Tremor,LP121779-5,Postural tremor
C0806936,Methionine+Tryptophan,LP18674-9,Methionine+Tryptophan
C1978535,Glucose tolerance 3H panel,LP65536-2,Glucose tolerance 3H panel
C0031862,vitamin K1,LP31700-5,
C0031862,vitamin K1,LP17945-4,Phytonadione
C0487408,Prolactin antigen,LP39482-2,Prolactin Ag
C1624738,Follow-up source,LP72607-2,Follow-up source
C2736871,urinalysis dipstick panel,LP99284-9,Urinalysis dipstick panel
C0486658,Cricket Ab.IgE,LP148368-6,Cricket Ab.IgE
C1719135,Hepatitis C virus SOD,LP36866-9,Hepatitis C virus superoxide dismutase
C2963790,How often were you too tired to socialize with your family in past 7D,LP103009-9,How often were you too tired to socialize with your family in past 7D
C3166263,Redness score,LP128631-1,Redness score
C3263193,Bacterial vancomycin resistance vanA & vanB & vanC1 & vanC2 genes,LP136108-0,Bacterial vancomycin resistance vanA & vanB & vanC1 & vanC2 genes
C0369854,Plasminogen antigen,LP39408-7,Plasminogen Ag
C0946304,Pressure spot code,LP73160-1,Pressure spot code
C1977675,Borrelia burgdorferi 18_20kD Ab.IgG,LP65264-1,Borrelia burgdorferi 18_20kD Ab.IgG
C3483934,Brucella abortus Ab.IgG1+IgG2,LP174015-0,Brucella abortus Ab.IgG1+IgG2
C0036960,Shigella sonnei,LP17986-8,Shigella sonnei
C0301854,Hyaluronidase antibody,LP38602-6,Hyaluronidase Ab
C0429518,Endothelial cell density,LP431371-6,Endothelial cells counted
C0552892,Anti-parathyrin antibody,LP39305-5,Parathyrin Ab
C0947187,Scapula Bilateral,LP30262-7,Chest>Scapula.bilateral
C0138514,Placental Growth Factor,LP182430-1,placental growth factor
C0138514,Placental Growth Factor,LP182306-3,Placental growth factor
C0546884,Hypovolemia,LP74857-1,Fluid volume deficit
C0806216,Gerbil Ab.IgE.RAST class,LP228536-1,Gerbil Ab.IgE.RAST class
C0806980,MJD gene.CAG repeats,LP19793-6,MJD gene.CAG repeats
C0807407,Pigweed rough Ab.IgE.RAST class,LP229307-6,Pigweed rough Ab.IgE.RAST class
C1627959,Glucose meter device panel,LP36389-2,Glucose meter device panel
C1954392,Summary purpose,LP73429-0,Summary purpose
