PheCode.x	PheCode_desc.x	PheCode.y	PheCode_desc.y
PheCode:426.4	Anomalous atrioventricular excitation	PheCode:427	Cardiac dysrhythmias
PheCode:426.2	Atrioventricular [AV] block	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:426.2	Atrioventricular [AV] block	PheCode:427	Cardiac dysrhythmias
PheCode:427.11	Paroxysmal supraventricular tachycardia	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:427.11	Paroxysmal supraventricular tachycardia	PheCode:427	Cardiac dysrhythmias
PheCode:426.25	Other heart block	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:426.25	Other heart block	PheCode:427	Cardiac dysrhythmias
PheCode:427.42	Cardiac arrest	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:427.42	Cardiac arrest	PheCode:427	Cardiac dysrhythmias
PheCode:1003	Sudden death	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:1003	Sudden death	PheCode:427	Cardiac dysrhythmias
PheCode:427.41	Ventricular fibrillation and flutter	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:427.41	Ventricular fibrillation and flutter	PheCode:427	Cardiac dysrhythmias
PheCode:427.21	Atrial fibrillation	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:427.21	Atrial fibrillation	PheCode:427	Cardiac dysrhythmias
PheCode:426.21	First degree AV block	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:426.21	First degree AV block	PheCode:427	Cardiac dysrhythmias
PheCode:426.24	Atrioventricular block, complete	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:426.24	Atrioventricular block, complete	PheCode:427	Cardiac dysrhythmias
PheCode:395.1	Nonrheumatic mitral valve disorders	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:395.1	Nonrheumatic mitral valve disorders	PheCode:427	Cardiac dysrhythmias
PheCode:443.9	Peripheral vascular disease, unspecified	PheCode:440	Atherosclerosis
PheCode:433.12	Cerebral atherosclerosis	PheCode:440	Atherosclerosis
PheCode:414.2	ASCVD	PheCode:440	Atherosclerosis
PheCode:411.4	Coronary atherosclerosis	PheCode:440	Atherosclerosis
PheCode:446.7	Takayasu's disease	PheCode:446.9	Arteritis NOS
PheCode:711.1	Pyogenic arthritis	PheCode:711	Arthropathy associated with infections
PheCode:714	Rheumatoid arthritis and other inflammatory polyarthropathies	PheCode:711.1	Pyogenic arthritis
PheCode:714	Rheumatoid arthritis and other inflammatory polyarthropathies	PheCode:711	Arthropathy associated with infections
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:711.1	Pyogenic arthritis
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:711	Arthropathy associated with infections
PheCode:711	Arthropathy associated with infections	PheCode:711.1	Pyogenic arthritis
PheCode:714.1	Rheumatoid arthritis	PheCode:696.42	Psoriatic arthropathy
PheCode:729.1	Rheumatism, unspecified and fibrositis	PheCode:714.1	Rheumatoid arthritis
PheCode:696.42	Psoriatic arthropathy	PheCode:714.1	Rheumatoid arthritis
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:714.1	Rheumatoid arthritis
PheCode:714.2	Juvenile rheumatoid arthritis	PheCode:714.1	Rheumatoid arthritis
PheCode:714	Rheumatoid arthritis and other inflammatory polyarthropathies	PheCode:714.1	Rheumatoid arthritis
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:713.5	Arthropathy associated with neurological disorders
PheCode:741	Symptoms and disorders of the joints	PheCode:713.5	Arthropathy associated with neurological disorders
PheCode:716.9	Arthropathy NOS	PheCode:713.5	Arthropathy associated with neurological disorders
PheCode:716	Other arthropathies	PheCode:713.5	Arthropathy associated with neurological disorders
PheCode:713	Arthropathy associated with other disorders classified elsewhere	PheCode:713.5	Arthropathy associated with neurological disorders
PheCode:473.4	Voice disturbance	PheCode:315.2	Speech and language disorder
PheCode:261	Vitamin deficiency	PheCode:261.3	Vitamin C deficiencies
PheCode:498	Acute bronchospasm	PheCode:495	Asthma
PheCode:495.2	Asthma with exacerbation	PheCode:495	Asthma
PheCode:367	Disorders of refraction and accommodation; blindness and low vision	PheCode:367.2	Astigmatism
PheCode:433.12	Cerebral atherosclerosis	PheCode:414.2	ASCVD
PheCode:440	Atherosclerosis	PheCode:414.2	ASCVD
PheCode:440.9	Atherosclerosis of aorta	PheCode:414.2	ASCVD
PheCode:440.9	Atherosclerosis of aorta	PheCode:440	Atherosclerosis
PheCode:411.4	Coronary atherosclerosis	PheCode:414.2	ASCVD
PheCode:427.5	Arrhythmia (cardiac) NOS	PheCode:427.21	Atrial fibrillation
PheCode:427	Cardiac dysrhythmias	PheCode:427.21	Atrial fibrillation
PheCode:427	Cardiac dysrhythmias	PheCode:426.24	Atrioventricular block, complete
PheCode:427	Cardiac dysrhythmias	PheCode:426.21	First degree AV block
PheCode:427	Cardiac dysrhythmias	PheCode:426.2	Atrioventricular [AV] block
PheCode:427.5	Arrhythmia (cardiac) NOS	PheCode:426.24	Atrioventricular block, complete
PheCode:427.5	Arrhythmia (cardiac) NOS	PheCode:426.21	First degree AV block
PheCode:427.5	Arrhythmia (cardiac) NOS	PheCode:426.2	Atrioventricular [AV] block
PheCode:426.2	Atrioventricular [AV] block	PheCode:426.24	Atrioventricular block, complete
PheCode:426.2	Atrioventricular [AV] block	PheCode:426.21	First degree AV block
PheCode:426.8	Other cardiac conduction disorders	PheCode:426.24	Atrioventricular block, complete
PheCode:426.8	Other cardiac conduction disorders	PheCode:426.21	First degree AV block
PheCode:426.8	Other cardiac conduction disorders	PheCode:426.2	Atrioventricular [AV] block
PheCode:426	Cardiac conduction disorders	PheCode:426.24	Atrioventricular block, complete
PheCode:426	Cardiac conduction disorders	PheCode:426.21	First degree AV block
PheCode:426	Cardiac conduction disorders	PheCode:426.2	Atrioventricular [AV] block
PheCode:426.2	Atrioventricular [AV] block	PheCode:426.8	Other cardiac conduction disorders
PheCode:426.24	Atrioventricular block, complete	PheCode:426.8	Other cardiac conduction disorders
PheCode:426	Cardiac conduction disorders	PheCode:426.8	Other cardiac conduction disorders
PheCode:426.21	First degree AV block	PheCode:426.8	Other cardiac conduction disorders
PheCode:313	Pervasive developmental disorders	PheCode:313.3	Autism
PheCode:038.3	Bacteremia	PheCode:038	Septicemia
PheCode:480.11	Pneumococcal pneumonia	PheCode:480.1	Bacterial pneumonia
PheCode:480	Pneumonia	PheCode:480.1	Bacterial pneumonia
PheCode:041	Bacterial infection NOS	PheCode:480.1	Bacterial pneumonia
PheCode:134.1	Intestinal helminthiases	PheCode:008.7	Intestinal infection due to protozoa
PheCode:131	Protozoan infection	PheCode:008.7	Intestinal infection due to protozoa
PheCode:530	Diseases of esophagus	PheCode:530.13	Barrett's esophagus
PheCode:530.12	Ulcer of esophagus	PheCode:530.13	Barrett's esophagus
PheCode:750.13	Congenital anomalies of mouth/tongue	PheCode:759	Other and unspecified congenital anomalies
PheCode:302	Sexual and gender identity disorders	PheCode:312	Conduct disorders
PheCode:316	Substance addiction and disorders	PheCode:312	Conduct disorders
PheCode:907	Injuries to the nervous system	PheCode:312	Conduct disorders
PheCode:327.4	Insomnia	PheCode:312	Conduct disorders
PheCode:303.3	Psychogenic disorder	PheCode:312	Conduct disorders
PheCode:303.4	Somatoform disorder	PheCode:312	Conduct disorders
PheCode:303.1	Dissociative disorder	PheCode:312	Conduct disorders
PheCode:295.3	Psychosis	PheCode:312	Conduct disorders
PheCode:327	Sleep disorders	PheCode:312	Conduct disorders
PheCode:327.5	Parasomnia	PheCode:312	Conduct disorders
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:312	Conduct disorders
PheCode:349	Other and unspecified disorders of the nervous system	PheCode:312	Conduct disorders
PheCode:292	Neurological disorders	PheCode:312	Conduct disorders
PheCode:290	Delirium dementia and amnestic and other cognitive disorders	PheCode:312	Conduct disorders
PheCode:348.9	Other conditions of brain, NOS	PheCode:312	Conduct disorders
PheCode:312.3	Impulse control disorder	PheCode:312	Conduct disorders
PheCode:327.6	Circadian rhythm sleep disorder	PheCode:312	Conduct disorders
PheCode:694.3	Vascular disorders of skin	PheCode:711.3	Behcet's syndrome
PheCode:153.2	Colon cancer	PheCode:208	Benign neoplasm of colon
PheCode:214.1	Lipoma of skin and subcutaneous tissue	PheCode:216	Benign neoplasm of skin
PheCode:172	Skin cancer	PheCode:216	Benign neoplasm of skin
PheCode:433	Cerebrovascular disease	PheCode:433.5	Cerebral aneurysm
PheCode:537	Other disorders of stomach and duodenum	PheCode:575.7	Other disorders of gallbladder
PheCode:158	Neoplasm of unspecified nature of digestive system	PheCode:575.8	Other disorders of biliary tract
PheCode:155	Cancer of liver and intrahepatic bile duct	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:155.1	Malignant neoplasm of liver, primary	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:575.8	Other disorders of biliary tract	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:368.9	Subjective visual disturbances	PheCode:368.2	Diplopia and disorders of binocular vision
PheCode:368	Visual disturbances	PheCode:368.2	Diplopia and disorders of binocular vision
PheCode:596	Other disorders of bladder	PheCode:594.2	Calculus of lower urinary tract
PheCode:189.21	Malignant neoplasm of bladder	PheCode:189.2	Cancer of bladder
PheCode:189	Cancer of urinary organs (incl. kidney and bladder)	PheCode:189.21	Malignant neoplasm of bladder
PheCode:189	Cancer of urinary organs (incl. kidney and bladder)	PheCode:189.2	Cancer of bladder
PheCode:189.2	Cancer of bladder	PheCode:189.21	Malignant neoplasm of bladder
PheCode:189.4	Malignant neoplasm of other urinary organs	PheCode:189.21	Malignant neoplasm of bladder
PheCode:189.4	Malignant neoplasm of other urinary organs	PheCode:189.2	Cancer of bladder
PheCode:624.9	stress incontinence, female	PheCode:596	Other disorders of bladder
PheCode:592.1	Cystitis	PheCode:596	Other disorders of bladder
PheCode:189.2	Cancer of bladder	PheCode:596	Other disorders of bladder
PheCode:596.5	Functional disorders of bladder	PheCode:596	Other disorders of bladder
PheCode:574.1	Cholelithiasis	PheCode:596	Other disorders of bladder
PheCode:596.1	Bladder neck obstruction	PheCode:596	Other disorders of bladder
PheCode:575.8	Other disorders of biliary tract	PheCode:596	Other disorders of bladder
PheCode:586	Other disorders of the kidney and ureters	PheCode:596	Other disorders of bladder
PheCode:594.3	Calculus of ureter	PheCode:596	Other disorders of bladder
PheCode:594.2	Calculus of lower urinary tract	PheCode:596	Other disorders of bladder
PheCode:596	Other disorders of bladder	PheCode:596.1	Bladder neck obstruction
PheCode:596	Other disorders of bladder	PheCode:189.2	Cancer of bladder
PheCode:374	Other disorders of eyelids	PheCode:371.3	Inflammation of eyelids
PheCode:371.33	Noninfectious dermatoses of eyelid	PheCode:371.3	Inflammation of eyelids
PheCode:446.8	Thrombotic microangiopathy	PheCode:286.7	Other and unspecified coagulation defects
PheCode:289	Other diseases of blood and blood-forming organs	PheCode:286.7	Other and unspecified coagulation defects
PheCode:287	Purpura and other hemorrhagic conditions	PheCode:287.4	Qualitative platelet defects
PheCode:289	Other diseases of blood and blood-forming organs	PheCode:287.4	Qualitative platelet defects
PheCode:286.7	Other and unspecified coagulation defects	PheCode:287.4	Qualitative platelet defects
PheCode:303.3	Psychogenic disorder	PheCode:303.4	Somatoform disorder
PheCode:351	Other peripheral nerve disorders	PheCode:353.1	Nerve plexus lesions
PheCode:766	Neuralgia, neuritis, and radiculitis NOS	PheCode:353.1	Nerve plexus lesions
PheCode:348.9	Other conditions of brain, NOS	PheCode:348.2	Cerebral edema and compression of brain
PheCode:907	Injuries to the nervous system	PheCode:348.2	Cerebral edema and compression of brain
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:348.2	Cerebral edema and compression of brain
PheCode:191.11	Cancer of brain	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:191	Manlignant and unknown neoplasms of brain and nervous system	PheCode:191.11	Cancer of brain
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:191.11	Cancer of brain
PheCode:348.8	Encephalopathy, not elsewhere classified	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:348.9	Other conditions of brain, NOS	PheCode:191.11	Cancer of brain
PheCode:348.9	Other conditions of brain, NOS	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:191.1	Cancer of brain and nervous system	PheCode:191.11	Cancer of brain
PheCode:191.1	Cancer of brain and nervous system	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:225.1	Benign neoplasm of brain, cranial nerves, meninges	PheCode:191.11	Cancer of brain
PheCode:225.1	Benign neoplasm of brain, cranial nerves, meninges	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:198.5	Secondary malignancy of brain/spine	PheCode:191.11	Cancer of brain
PheCode:198.5	Secondary malignancy of brain/spine	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:907	Injuries to the nervous system	PheCode:191.11	Cancer of brain
PheCode:907	Injuries to the nervous system	PheCode:191	Manlignant and unknown neoplasms of brain and nervous system
PheCode:613.9	Breast disorder NOS	PheCode:174.1	Breast cancer [female]
PheCode:613.9	Breast disorder NOS	PheCode:174	Breast cancer
PheCode:174	Breast cancer	PheCode:174.1	Breast cancer [female]
PheCode:174.1	Breast cancer [female]	PheCode:174	Breast cancer
PheCode:164	Cancer of intrathoracic organs	PheCode:174.1	Breast cancer [female]
PheCode:164	Cancer of intrathoracic organs	PheCode:174	Breast cancer
PheCode:610.3	Fibrosclerosis of breast	PheCode:174.1	Breast cancer [female]
PheCode:610.3	Fibrosclerosis of breast	PheCode:174	Breast cancer
PheCode:610.4	Benign neoplasm of breast	PheCode:174.1	Breast cancer [female]
PheCode:610.4	Benign neoplasm of breast	PheCode:174	Breast cancer
PheCode:610.4	Benign neoplasm of breast	PheCode:610.1	Cystic mastopathy
PheCode:174	Breast cancer	PheCode:613.9	Breast disorder NOS
PheCode:610.1	Cystic mastopathy	PheCode:613.9	Breast disorder NOS
PheCode:610.2	Fibroadenosis of breast	PheCode:613.9	Breast disorder NOS
PheCode:610	Benign mammary dysplasias	PheCode:613.9	Breast disorder NOS
PheCode:174.1	Breast cancer [female]	PheCode:613.9	Breast disorder NOS
PheCode:613.1	Inflammatory disease of breast	PheCode:613.9	Breast disorder NOS
PheCode:612.2	Hypertrophy of breast (Gynecomastia)	PheCode:613.9	Breast disorder NOS
PheCode:676	Other disorders of the breast associated with childbirth and disorders of lactation	PheCode:613.9	Breast disorder NOS
PheCode:610.3	Fibrosclerosis of breast	PheCode:613.9	Breast disorder NOS
PheCode:496.3	Bronchiectasis	PheCode:498	Acute bronchospasm
PheCode:495	Asthma	PheCode:498	Acute bronchospasm
PheCode:496	Chronic airway obstruction	PheCode:496.3	Bronchiectasis
PheCode:498	Acute bronchospasm	PheCode:496.3	Bronchiectasis
PheCode:510	Other diseases of lung	PheCode:483	Acute bronchitis and bronchiolitis
PheCode:496	Chronic airway obstruction	PheCode:483	Acute bronchitis and bronchiolitis
PheCode:480.11	Pneumococcal pneumonia	PheCode:496	Chronic airway obstruction
PheCode:480	Pneumonia	PheCode:496	Chronic airway obstruction
PheCode:480.1	Bacterial pneumonia	PheCode:496	Chronic airway obstruction
PheCode:483	Acute bronchitis and bronchiolitis	PheCode:496	Chronic airway obstruction
PheCode:480.1	Bacterial pneumonia	PheCode:480.5	Bronchopneumonia and lung abscess
PheCode:480	Pneumonia	PheCode:480.5	Bronchopneumonia and lung abscess
PheCode:480.11	Pneumococcal pneumonia	PheCode:480.5	Bronchopneumonia and lung abscess
PheCode:202.21	Nodular lymphoma	PheCode:202.2	Non-Hodgkins lymphoma
PheCode:1009	Injury, NOS	PheCode:1000	Burns
PheCode:716.9	Arthropathy NOS	PheCode:727.2	Bursitis disorders
PheCode:716.9	Arthropathy NOS	PheCode:727	Other disorders of synovium, tendon, and bursa
PheCode:716.9	Arthropathy NOS	PheCode:726.3	Bursitis
PheCode:741	Symptoms and disorders of the joints	PheCode:727.2	Bursitis disorders
PheCode:741	Symptoms and disorders of the joints	PheCode:727	Other disorders of synovium, tendon, and bursa
PheCode:741	Symptoms and disorders of the joints	PheCode:726.3	Bursitis
